schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved
3106,Robert-Blum-Schule,Grundschule,grundschulen,Grundschule,1-4,Gerlachstraße 1,65929,Frankfurt am Main,Frankfurt am Main,Hessen,Höchst,50.1073,8.5485,+49 69 212 45558,+49 69 212 45618,poststelle.robert-blum-schule@stadt-frankfurt.de,http://robert-blum.frankfurt.schule.hessen.de,Stadt Frankfurt am Main,,,Gülnar Salur,Agnieszka Golonka,550.0,20.0,08:00 bis 14:45 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,Ganztagsangebote,,,,Jugendhilfeangebot,"Robert Blum (1807-1848), Vizepräsident im Paulskirchenparlament von 1848",,,,12.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/robert-blum-schule,robert-blum-schule,Frankfurt Schulwegweiser,2026-04-06
3107,Robert-Schumann-Schule,Grundschule,grundschulen,Grundschule,1-4,Heddernheimer Kirchstraße 13,60439,Frankfurt am Main,Frankfurt am Main,Hessen,Heddernheim,50.1581,8.64559,+49 69 212 38734,+49 69 212 32099,poststelle.robert-schumann-schule@stadt-frankfurt.de,http://robert-schumann-schule.de,Stadt Frankfurt am Main,,,Frau Rosanka,Frau Hartmann,402.0,14.0,08:15 bis 13:30 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Italienisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Italienisch, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,Ganztagsangebote,,,"""Freunde und Förderer der Robert-Schumann-Schule""",,"Robert Schumann (1810-1856), Komponist",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/robert-schumann-schule,robert-schumann-schule,Frankfurt Schulwegweiser,2026-04-06
3149,Römerstadtschule,Grundschule,grundschulen,Grundschule,1-4,In der Römerstadt 120e,60439,Frankfurt am Main,Frankfurt am Main,Hessen,Heddernheim,50.154,8.63315,+49 69 212 34978,+49 69 212 32009,poststelle.roemerstadtschule@stadt-frankfurt.de,http://www.römerstadtschule.de,Stadt Frankfurt am Main,,,Elke Wagenblast,,375.0,14.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Kooperationspartner",,,"""Freunde und Förderer der Römerstadtschule""",Jugendhilfeangebot,"Benannt nach der 1927/28 entstandenen Siedlung ""In der Römerstadt""",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/roemerstadtschule,roemerstadtschule,Frankfurt Schulwegweiser,2026-04-06
3666,Schule am Erlenbach,Grundschule,grundschulen,Grundschule,1-4,Im Feldchen 26,60437,Frankfurt am Main,Frankfurt am Main,Hessen,Nieder-Erlenbach,50.2054,8.7106,+49 69 212 44999,+49 69 212 45157,poststelle.schule-am-erlenbach@stadt-frankfurt.de,http://www.schule-am-erlenbach.de,Stadt Frankfurt am Main,,,,Vanessa Pfeiffer,210.0,10.0,07:50 bis 13:05 Uhr,,"Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Neue Technologien",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 1,"AGs am Nachmittag, Ganztagsangebote",,,"""Förderverein der Schule am Erlenbach e.V.""",,"Benannt nach dem Bach, der durch den Ort fließt.",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/schule-am-erlenbach,schule-am-erlenbach,Frankfurt Schulwegweiser,2026-04-06
3822,Schule am Hang,Grundschule,grundschulen,Grundschule,1-4,Barbarossastraße 65a,60388,Frankfurt am Main,Frankfurt am Main,Hessen,Bergen-Enkheim,50.1527,8.7565,+49 69 212 41257,+49 69 212 41259,poststelle.schule-am-hang@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Sina Gölz,Anjali Nienhuys,488.0,19.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,"Schwerpunkt Musik, Schwerpunkt Kunst",,,,"Englisch, Herkunftssprachlicher Unterricht, Kroatisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Kroatisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Kooperationspartner",,,"""Schatzinsel / Förderverein der Schule am Hang e.V."", Ansprechpartner/in: Schulsekretariat",,Benannt nach ihrer Lage im Stadtteil,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/schule-am-hang,schule-am-hang,Frankfurt Schulwegweiser,2026-04-06
3824,Schule am Landgraben,Grundschule,grundschulen,Grundschule,1-4,Landgraben 2,60388,Frankfurt am Main,Frankfurt am Main,Hessen,Bergen-Enkheim,50.1569,8.74946,+49 69 212 75055,+49 69 212 41208,poststelle.schule-am-landgraben@stadt-frankfurt.de,http://www.schuleamlandgraben.de,Stadt Frankfurt am Main,,,Miriam Boiar,Karolin Bohn,182.0,8.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Kunst",,,Deutsch,Englisch,,,,Englisch,,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Ganztagsangebote, Kooperationspartner",,,"""Förderverein der Schule am Landgraben"", Vorsitzende: Katja Timmermann",Von der Stadtbücherei aufgebaut und organisiert,Benannt nach ihrer Lage im Stadtteil,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/schule-am-landgraben,schule-am-landgraben,Frankfurt Schulwegweiser,2026-04-06
3150,Schwarzburgschule,Grundschule,grundschulen,Grundschule,1-4,Lenaustraße 81,60318,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1265,8.68983,+49 69 212 33940,,poststelle.schwarzburgschule@stadt-frankfurt.de,http://www.schwarzburgschule.de,Stadt Frankfurt am Main,,,Frauke Lebsanft,Moritz Wachendörfer,283.0,12.0,08:00 bis 13:20 Uhr,,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 1,"Besondere Leseförderung, Ganztagsangebote, Jugendhilfeangebot",,,"""Förderverein Schwarzburgschule e.V.""","""Bücherwurm"", Öffnungszeiten: Montag bis Freitag von 08:00 - 08:45 Uhr",Benannt nach dem Patriziergeschlecht der Herren von Schwarzburg,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/schwarzburgschule,schwarzburgschule,Frankfurt Schulwegweiser,2026-04-06
3128,Steffi-Jones-Schule,Grundschule,grundschulen,Grundschule,1-4,Harheimer Weg 16,60437,Frankfurt am Main,Frankfurt am Main,Hessen,Bonames,50.1828,8.66858,+49 69 212 38564,,poststelle.steffi-jones-schule@stadt-Frankfurt.de,,Stadt Frankfurt am Main,,,Katja Mausbach,,378.0,16.0,08:15 bis 13:30 Uhr,,Flexibler Schulanfang,,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"Besondere Leseförderung, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,,,"Öffnungszeiten: 09:55 - 10:15 Uhr, tägliche Ausleihe möglich, Lesestundenangebot für alle Klassen durch Eltern. Von der Stadtbücherei aufgebaut und organisiert.","Steffi Jones (* 1972), deutsche Fußball-Spielerin",,,"Schulen mit flexiblem Schulanfang fügen die Jahrgangsstufen 1 und 2 inhaltlich und organisatorisch zusammen. Die Kinder durchlaufen diese beiden Stufen je nach individuellem Entwicklungs- und Leistungsstand in mindestens einem, zwei oder höchstens drei Jahren.",13.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/steffi-jones-schule,steffi-jones-schule,Frankfurt Schulwegweiser,2026-04-06
3151,Textorschule,Grundschule,grundschulen,Grundschule,1-4,Oppenheimer Landstraße 15,60594,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.1027,8.6817,+49 69 212 41161,+49 69 212 39326,poststelle.textorschule@stadt-frankfurt.de,http://www.textorschule.de,Stadt Frankfurt am Main,,,Stefanie Weitzel,Mirja Hommel,440.0,18.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Sprachen, Europaschule, UNESCO-Projektschule",,,Bilingual Deutsch/Französisch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Pakt für den Ganztag,"AGs am Nachmittag, Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Kooperationspartner",,Europaschule und UNESCO-Projektschule,"""Verein der Freunde und Förderer der Textorschule"", Ansprechpartner: Christian von Halasz",Musikschule,Textor: Geburtsname von Goethes Mutter,,,Bilingualer Zweig Deutsch-Französisch,11.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/textorschule,textorschule,Frankfurt Schulwegweiser,2026-04-06
3152,Theobald-Ziegler-Schule,Grundschule,grundschulen,Grundschule,1-4,Theobald-Ziegler-Straße 10,60435,Frankfurt am Main,Frankfurt am Main,Hessen,Eckenheim,50.1481,8.69085,+49 69 212 38755,+49 69 212 30706,poststelle.theobald-ziegler-schule@stadt-frankfurt.de,https://theobald-ziegler-schule.de,Stadt Frankfurt am Main,,,Christina Raab,Andrea Kaufmann,340.0,16.0,08:00 bis 15:05 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Polnisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Polnisch, Türkisch",Ganztagsangebote,Schule mit Pakt für den Ganztag,"Besondere Leseförderung, Förderung der Deutschkenntnisse, Förderung besonderer Begabung, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,,foerderverein.theo@gmx.de,Von der Stadtbücherei aufgebaut und organisiert,"Theobald Ziegler (1846-1918), Philosoph und Pädagoge",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/theobald-ziegler-schule,theobald-ziegler-schule,Frankfurt Schulwegweiser,2026-04-06
3174,Uhlandschule,Grundschule,grundschulen,Grundschule,1-4,Ostendstraße 35,60314,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.112,8.69845,+49 69 212 33530,+49 69 212 31652,poststelle.uhlandschule@stadt-frankfurt.de,http://www.uhlandschule-frankfurt.com,Stadt Frankfurt am Main,,,Friederike Linzenmeier,,237.0,12.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Sport",,,Deutsch,,,,,,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Kooperationspartner, Jugendhilfeangebot",,,"""Förderverein Uhlandschule"", Ansprechpartner/in: Hr. Rademacher",,"Ludwig Uhland (1787-1862), Dichter und Mitglied der Nationalversammlung",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/uhlandschule,uhlandschule,Frankfurt Schulwegweiser,2026-04-06
4395,Valentin-Senger-Schule,Grundschule,grundschulen,Grundschule,1-4,Valentin-Senger-Straße 9,60389,Frankfurt am Main,Frankfurt am Main,Hessen,Bornheim,50.1398952,8.7005427,+49 69 212 33095,+49 69 212 34724,poststelle.valentin-senger-schule@stadt-frankfurt.de,http://www.vss-frankfurt.de/,Stadt Frankfurt am Main,,,Frau Sonja Blähr-Niehoff,,238.0,10.0,,,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Pakt für den Ganztag,Ganztagsangebote,,,,,"Valentin Senger (1918 -- 1997): Frankfurter Schriftsteller, Autor und Journalist russisch-jüdischer Herkunft",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/valentin-senger-schule,valentin-senger-schule,Frankfurt Schulwegweiser,2026-04-06
4398,Viktoria-Luise-Schule,Grundschule,grundschulen,Grundschule,1-4,Leonardo-da-Vinci-Allee 11,60486,Frankfurt am Main,Frankfurt am Main,Hessen,Bockenheim,50.1130506,8.6250304,+49 69 212 77306,+49 69 212 77317,poststelle.viktoria-luise-schule@stadt-frankfurt.de,http://viktoria-luise-schule.de/,Stadt Frankfurt am Main,,,Nadine Goß,,380.0,,,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Polnisch, Türkisch, Portugiesisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Polnisch, Türkisch, Portugiesisch",Ganztagsangebote,Schule mit Pakt für den Ganztag,"Ganztagsangebote, Jugendhilfeangebot",,,,Sarah Galow,,,,,15.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/viktoria-luise-schule,viktoria-luise-schule,Frankfurt Schulwegweiser,2026-04-06
